21,171
22,170
23,170
24,170
25,169
26,168
27,168
28,167
29,166
30,165
31,165
32,163
32,164
32,165
33,161
33,162
34,160
35,159
36,158
37,156
37,157
38,154
38,155
39,152
39,153
40,151
41,149
41,150
42,147
42,148
43,146
44,144
44,145
45,143
46,141
46,142
47,139
47,140
48,123
48,124
48,125
48,126
48,127
48,128
48,138
49,117
49,118
49,119
49,120
49,121
49,122
49,129
49,130
49,131
49,136
49,137
50,95
50,96
50,97
50,98
50,99
50,100
50,101
50,102
50,103
50,104
50,105
50,106
50,107
50,108
50,109
50,110
50,111
50,112
50,113
50,114
50,115
50,116
50,132
50,133
50,134
50,135
51,88
51,89
51,90
51,91
51,92
51,93
51,94
51,135
52,81
52,82
52,83
52,84
52,85
52,86
52,87
52,135
53,78
53,79
53,80
53,135
54,74
54,75
54,76
54,77
54,135
55,71
55,72
55,73
55,135
56,69
56,70
56,136
57,66
57,67
57,68
57,137
58,64
58,65
58,138
59,62
59,63
59,139
60,60
60,61
60,140
61,58
61,59
61,141
62,57
62,142
63,55
63,56
63,143
64,53
64,54
64,144
65,52
65,144
66,51
66,145
67,49
67,50
67,145
68,47
68,48
68,145
69,46
69,146
70,44
70,45
70,146
71,43
71,146
72,42
72,147
72,148
73,41
73,148
74,39
74,40
74,148
75,38
75,148
76,37
76,148
77,36
77,149
78,34
78,35
78,149
79,34
79,150
80,34
80,150
81,33
81,151
82,32
82,151
83,32
83,152
84,31
84,152
85,30
85,153
86,29
86,153
87,29
87,153
88,28
88,153
89,27
89,153
90,26
90,153
91,26
91,153
92,25
92,153
93,25
93,152
94,24
94,152
95,24
95,152
96,23
96,151
97,22
97,151
98,22
98,151
99,22
99,150
100,21
100,150
101,21
101,149
102,21
102,149
103,20
103,149
104,20
104,149
105,20
105,148
106,20
106,148
107,20
107,148
108,19
108,147
109,19
109,147
110,19
110,146
111,19
111,146
112,19
112,146
113,19
113,145
114,19
114,144
115,18
115,144
116,18
116,143
117,18
117,142
118,18
118,142
119,19
119,141
120,19
120,141
121,19
121,140
122,19
122,139
123,19
123,139
124,19
124,138
125,20
125,138
126,20
126,137
127,20
127,136
128,21
128,136
129,21
129,135
130,21
130,134
131,22
131,134
132,22
132,133
133,23
133,132
134,23
134,132
135,24
135,131
136,24
136,130
137,25
137,130
138,26
138,129
139,26
139,128
140,27
140,127
141,28
141,127
142,29
142,126
143,29
143,125
144,30
144,124
145,31
145,123
146,32
146,123
147,32
147,122
148,33
148,120
148,121
148,122
149,34
149,119
150,34
150,118
151,34
151,35
151,36
151,37
151,116
151,117
152,38
152,114
152,115
153,39
153,113
154,40
154,111
154,112
155,41
155,42
155,109
155,110
156,43
156,106
156,107
156,108
157,44
157,45
157,104
157,105
158,46
158,103
159,47
159,100
159,101
159,102
160,48
160,49
160,97
160,98
160,99
161,50
161,51
161,52
161,94
161,95
161,96
162,53
162,54
162,55
162,91
162,92
162,93
163,56
163,57
163,58
163,59
163,60
163,61
163,62
163,63
163,85
163,86
163,87
163,88
163,89
163,90
164,64
164,65
164,66
164,67
164,68
164,69
164,70
164,71
164,72
164,73
164,74
164,75
164,76
164,77
164,78
164,79
164,80
164,81
164,82
164,83
164,84
